day,eth_spot_price,eth_mark_price,spread_bps,daily_funding_rate_bps,edge_score_bps,is_hedge_open,position_notional,posted_margin,entry_price,lending_income_daily,funding_income_daily,short_price_pnl_daily,costs_daily,cumulative_lending,cumulative_funding,cumulative_price_pnl,cumulative_costs,net_pnl_daily,cumulative_net_pnl,equity,margin_ratio_bps,health_factor,annualized_return_bps
0,2000.0,1999.0,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,0.0,0.0,50.0,0.0,0.0,0.0,50.0,-41.7808,-50.0,99950.0,2000.0,4.0,-1825.0
1,1986.0,1985.01,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,700.0,0.0,8.2192,-20.0,700.0,50.0,688.2192,638.2192,100638.2192,2068.0,4.136,23295.0
2,1972.1,1971.11,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,695.1,0.0,16.4384,-40.0,1395.1,50.0,683.3192,1321.5384,101321.5384,2135.51,4.271,24118.08
3,1958.29,1957.31,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,690.2343,0.0,24.6575,-60.0,2085.3343,50.0,678.4535,1999.9918,101999.9918,2202.53,4.4051,24333.23
4,1944.59,1943.61,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,685.4027,0.0,32.8767,-80.0,2770.737,50.0,673.6218,2673.6137,102673.6137,2269.07,4.5381,24396.72
5,1930.97,1930.01,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,680.6048,0.0,41.0959,-100.0,3451.3418,50.0,668.824,3342.4377,103342.4377,2335.13,4.6703,24399.8
6,1917.46,1916.5,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,675.8406,0.0,49.3151,-120.0,4127.1824,50.0,664.0598,4006.4975,104006.4975,2400.72,4.8014,24372.86
7,1904.03,1903.08,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,671.1097,0.0,57.5342,-140.0,4798.2921,50.0,659.3289,4665.8264,104665.8264,2465.83,4.9317,24328.95
8,1890.71,1889.76,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,666.412,0.0,65.7534,-160.0,5464.7041,50.0,654.6311,5320.4575,105320.4575,2530.47,5.0609,24274.59
9,1877.47,1876.53,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,661.7471,0.0,73.9726,-180.0,6126.4512,50.0,649.9662,5970.4238,105970.4238,2594.65,5.1893,24213.39
10,1864.33,1863.4,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,657.1148,0.0,82.1918,-200.0,6783.566,50.0,645.334,6615.7578,106615.7578,2658.36,5.3167,24147.52
11,1851.28,1850.35,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,652.515,0.0,90.411,-220.0,7436.081,50.0,640.7342,7256.492,107256.492,2721.61,5.4432,24078.36
12,1838.32,1837.4,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,647.9474,0.0,98.6301,-240.0,8084.0285,50.0,636.1666,7892.6586,107892.6586,2784.4,5.5688,24006.84
13,1825.45,1824.54,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,643.4118,0.0,106.8493,-260.0,8727.4403,50.0,631.631,8524.2896,108524.2896,2846.74,5.6935,23933.58
14,1812.67,1811.77,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,638.9079,0.0,115.0685,-280.0,9366.3482,50.0,627.1271,9151.4167,109151.4167,2908.63,5.8173,23859.05
15,1799.98,1799.08,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,634.4356,0.0,123.2877,-300.0,10000.7838,50.0,622.6547,9774.0714,109774.0714,2970.08,5.9402,23783.57
16,1787.38,1786.49,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,629.9945,0.0,131.5068,-320.0,10630.7783,50.0,618.2137,10392.2851,110392.2851,3031.08,6.0622,23707.4
17,1774.87,1773.99,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,625.5846,0.0,139.726,-340.0,11256.3628,50.0,613.8037,11006.0888,111006.0888,3091.64,6.1833,23630.72
18,1762.45,1761.57,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,621.2055,0.0,147.9452,-360.0,11877.5683,50.0,609.4246,11615.5135,111615.5135,3151.76,6.3035,23553.68
19,1750.11,1749.24,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,616.857,0.0,156.1644,-380.0,12494.4253,50.0,605.0762,12220.5897,112220.5897,3211.44,6.4229,23476.4
20,1737.86,1736.99,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,612.539,0.0,164.3836,-400.0,13106.9643,50.0,600.7582,12821.3479,112821.3479,3270.7,6.5414,23398.96
21,1725.7,1724.83,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,608.2512,0.0,172.6027,-420.0,13715.2156,50.0,596.4704,13417.8183,113417.8183,3329.52,6.659,23321.45
22,1713.62,1712.76,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,603.9935,0.0,180.8219,-440.0,14319.2091,50.0,592.2127,14010.031,114010.031,3387.92,6.7758,23243.92
23,1701.62,1700.77,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,599.7655,0.0,189.0411,-460.0,14918.9746,50.0,587.9847,14598.0157,114598.0157,3445.9,6.8918,23166.42
24,1689.71,1688.86,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,595.5672,0.0,197.2603,-480.0,15514.5418,50.0,583.7864,15181.8021,115181.8021,3503.45,7.0069,23088.99
25,1677.88,1677.04,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,591.3982,0.0,205.4795,-500.0,16105.94,50.0,579.6174,15761.4194,115761.4194,3560.59,7.1212,23011.67
26,1666.14,1665.3,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,587.2584,0.0,213.6986,-520.0,16693.1984,50.0,575.4776,16336.897,116336.897,3617.32,7.2346,22934.49
27,1654.47,1653.65,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,583.1476,0.0,221.9178,-540.0,17276.346,50.0,571.3668,16908.2638,116908.2638,3673.63,7.3473,22857.47
28,1642.89,1642.07,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,579.0656,0.0,230.137,-560.0,17855.4116,50.0,567.2848,17475.5486,117475.5486,3729.54,7.4591,22780.63
29,1631.39,1630.58,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,575.0121,0.0,238.3562,-580.0,18430.4237,50.0,563.2313,18038.7799,118038.7799,3785.04,7.5701,22703.98
30,1619.97,1619.16,-5.0,-2.0,-435.0,True,100000.0,20000.0,2000.0,8.2192,-20.0,570.987,0.0,246.5753,-600.0,19001.4107,50.0,559.2062,18597.9861,118597.9861,3840.14,7.6803,22627.55
