day,eth_spot_price,eth_mark_price,spread_bps,daily_funding_rate_bps,edge_score_bps,is_hedge_open,position_notional,posted_margin,entry_price,lending_income_daily,funding_income_daily,short_price_pnl_daily,costs_daily,cumulative_lending,cumulative_funding,cumulative_price_pnl,cumulative_costs,net_pnl_daily,cumulative_net_pnl,equity,margin_ratio_bps,health_factor,annualized_return_bps
0,2000.0,2001.0,5.0,2.4571,1391.83,True,100000.0,20000.0,2000.0,13.6986,0.0,0.0,50.0,0.0,0.0,0.0,50.0,-36.3014,-50.0,99950.0,2000.0,4.0,-1825.0
1,2018.79,2019.8,5.0,0.44,655.61,True,100000.0,20000.0,2000.0,13.6986,4.4002,-939.4448,0.0,13.6986,4.4002,-939.4448,50.0,-921.3459,-971.3459,99028.6541,1906.5,3.813,-35454.13
2,1953.49,1954.47,5.0,3.1257,1635.87,True,100000.0,20000.0,2000.0,13.6986,31.2568,3264.9519,0.0,27.3973,35.657,2325.5071,50.0,3309.9073,2338.5614,102338.5614,2236.12,4.4722,42678.75
3,1999.64,2000.64,5.0,3.4108,1739.96,True,100000.0,20000.0,2000.0,13.6986,34.1085,-2307.4419,0.0,41.0959,69.7655,18.0652,50.0,-2259.6348,78.9266,100078.9266,2008.78,4.0176,960.27
4,2059.14,2060.16,5.0,-0.9266,156.81,True,100000.0,20000.0,2000.0,13.6986,-9.2655,-2974.8344,0.0,54.7945,60.4999,-2956.7692,50.0,-2970.4013,-2891.4747,97108.5253,1710.37,3.4207,-26384.71
5,1936.33,1937.3,5.0,0.0467,512.06,True,100000.0,20000.0,2000.0,13.6986,0.4673,6140.3213,0.0,68.4932,60.9673,3183.5521,50.0,6154.4872,3263.0125,103263.0125,2324.45,4.6489,23819.99
6,1858.33,1859.26,5.0,2.1918,1294.99,True,100000.0,20000.0,2000.0,13.6986,21.9176,3899.8584,0.0,82.1918,82.8849,7083.4105,50.0,3935.4746,7198.4872,107198.4872,2716.63,5.4333,43790.8
7,1865.4,1866.33,5.0,1.5256,1051.86,True,100000.0,20000.0,2000.0,13.6986,15.2564,-353.3542,0.0,95.8904,98.1412,6730.0563,50.0,-324.3992,6874.0879,106874.0879,2682.82,5.3656,35843.46
8,1846.56,1847.48,5.0,1.9748,1215.8,True,100000.0,20000.0,2000.0,13.6986,19.748,941.9861,0.0,109.589,117.8892,7672.0424,50.0,975.4327,7849.5207,107849.5207,2778.99,5.558,35813.44
9,1845.18,1846.1,5.0,0.7204,757.96,True,100000.0,20000.0,2000.0,13.6986,7.2043,68.9272,0.0,123.2877,125.0935,7740.9696,50.0,89.8301,7939.3508,107939.3508,2786.61,5.5732,32198.48
10,1796.01,1796.91,5.0,3.3191,1706.47,True,100000.0,20000.0,2000.0,13.6986,33.191,2458.5096,0.0,136.9863,158.2845,10199.4792,50.0,2505.3992,10444.75,110444.75,3035.78,6.0716,38123.34
11,1845.9,1846.82,5.0,3.1667,1650.84,True,100000.0,20000.0,2000.0,13.6986,31.6669,-2494.4334,0.0,150.6849,189.9514,7705.0458,50.0,-2449.0679,7995.6821,107995.6821,2789.5,5.579,26531.13
12,1891.13,1892.07,5.0,2.099,1261.15,True,100000.0,20000.0,2000.0,13.6986,20.9905,-2261.5127,0.0,164.3836,210.9419,5443.5331,50.0,-2226.8236,5768.8585,105768.8585,2565.45,5.1309,17546.94
13,1894.64,1895.59,5.0,3.6909,1842.16,True,100000.0,20000.0,2000.0,13.6986,36.9086,-175.5219,0.0,178.0822,247.8505,5268.0112,50.0,-124.9147,5643.9439,105643.9439,2551.59,5.1032,15846.46
14,1962.48,1963.47,5.0,2.7013,1480.96,True,100000.0,20000.0,2000.0,13.6986,27.0126,-3392.2145,0.0,191.7808,274.8631,1875.7967,50.0,-3351.5032,2292.4406,102292.4406,2215.07,4.4301,5976.72
