day,eth_spot_price,eth_mark_price,spread_bps,daily_funding_rate_bps,edge_score_bps,is_hedge_open,position_notional,posted_margin,entry_price,lending_income_daily,funding_income_daily,short_price_pnl_daily,costs_daily,cumulative_lending,cumulative_funding,cumulative_price_pnl,cumulative_costs,net_pnl_daily,cumulative_net_pnl,equity,margin_ratio_bps,health_factor,annualized_return_bps
0,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,0.0,0.0,50.0,0.0,0.0,0.0,50.0,-36.3014,-50.0,99950.0,2000.0,4.0,-1825.0
1,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,13.6986,30.0,0.0,50.0,43.6986,-6.3014,99993.6986,2003.0,4.006,-230.0
2,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,27.3973,60.0,0.0,50.0,43.6986,37.3973,100037.3973,2006.0,4.012,682.5
3,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,41.0959,90.0,0.0,50.0,43.6986,81.0959,100081.0959,2009.0,4.018,986.67
4,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,54.7945,120.0,0.0,50.0,43.6986,124.7945,100124.7945,2012.0,4.024,1138.75
5,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,68.4932,150.0,0.0,50.0,43.6986,168.4932,100168.4932,2015.0,4.03,1230.0
6,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,82.1918,180.0,0.0,50.0,43.6986,212.1918,100212.1918,2018.0,4.036,1290.83
7,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,95.8904,210.0,0.0,50.0,43.6986,255.8904,100255.8904,2021.0,4.042,1334.29
8,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,109.589,240.0,0.0,50.0,43.6986,299.589,100299.589,2024.0,4.048,1366.88
9,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,123.2877,270.0,0.0,50.0,43.6986,343.2877,100343.2877,2027.0,4.054,1392.22
10,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,136.9863,300.0,0.0,50.0,43.6986,386.9863,100386.9863,2030.0,4.06,1412.5
11,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,150.6849,330.0,0.0,50.0,43.6986,430.6849,100430.6849,2033.0,4.066,1429.09
12,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,164.3836,360.0,0.0,50.0,43.6986,474.3836,100474.3836,2036.0,4.072,1442.92
13,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,178.0822,390.0,0.0,50.0,43.6986,518.0822,100518.0822,2039.0,4.078,1454.62
14,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,191.7808,420.0,0.0,50.0,43.6986,561.7808,100561.7808,2042.0,4.084,1464.64
15,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,205.4795,450.0,0.0,50.0,43.6986,605.4795,100605.4795,2045.0,4.09,1473.33
16,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,219.1781,480.0,0.0,50.0,43.6986,649.1781,100649.1781,2048.0,4.096,1480.94
17,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,232.8767,510.0,0.0,50.0,43.6986,692.8767,100692.8767,2051.0,4.102,1487.65
18,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,246.5753,540.0,0.0,50.0,43.6986,736.5753,100736.5753,2054.0,4.108,1493.61
19,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,260.274,570.0,0.0,50.0,43.6986,780.274,100780.274,2057.0,4.114,1498.95
